Title,Inventor(s),Date Granted,Type,Patent Number
SOLAR POWERED THERMAL JACKET,SUBHAMOY ROY,29.05.2024,National,
SMALLEST ISOSCELES TRIANGULAR MICROSTRIP PATCH ANTENNA FOR WLAN APPLICATION,MURARI SHAW,12.09.2024,National,
THERMAL COMPRESS LUMBAR SUPPORT BELT,"SUBHABRATA BANERJEE, MALAY GANGOPADHYAY, SANGHAMITRA PODDAR",03.12.2024,International,UK Design number: 6407070
PERSONALISED HEALTHCARE: ML-DRIVEN WEARABLE SENSOR MONITORING &amp; CLASSIFICATION,SOUMIK KUMAR KUNDU,09.06.2024,National,202431065147A
PERSONALISED HEALTHCARE: ML-DRIVEN WEARABLE SENSOR MONITORING &amp; CLASSIFICATION,SAMIT KARMAKAR,09.06.2024,National,202431065147A
SOLAR ENERGY DRIVEN AMMONIA SYNTHESIS IN WET NITROGEN ENVIRONMENT USING MODIFIED PEROVSKITE-NANOSTRUCTURE BASED PHOTO-CATALYTIC WATER SPLITTING,"G.S.TAKI, SAMIT KARMAKAR, SOUMIK KUMAR KUNDU",,National,
IMPLEMENTATION OF SILICON-ON-INSULATOR(SOI) BASED POWER JUNCTION-LESS TRANSISTOR DEVICE SWITCHING IN SWITCH MODE POWER SUPPLY(SMPS) CIRCUIT,"ARINDAM CHAKRABORTY, MALAY GANGOPADHYAY",,National,
RESONANT FREQUENCY OPTIMIZATION AND FABRICATION OF COAXIALLY FED RECTANGULAR MICROSTRIP ANTENNA USING PARTICLE SWARM OPTIMIZATION ALGORITHM,MALAY GANGOPADHYAY,,National,
A PERMANENT MAGNET ELECTRON CYCLOTRON RESONANCE PLASMA ENHANCED MULTI-FACILITY NANO-METRIC FILM DEPOSITION SYSTEM,G. S. TAKI,,National,
THREE INPUT OPTICAL LOGIC GATE USING FOURIER TRANSFORM METHOD,MILI SARKAR,,National,
REAL TIME LPG GAS MONITORING AND AUTOMATIC BOOKING ALERT WITH LPG LEAKAGE AND FIRE DETECTION,MALAY GANGOPADHYAY,,National,
I – JAR A SYSTEM FOR PERSONAL COOLING THROUGH COLD WATER SHOWERING,"SMIHIR LAL SAHA, MALAY GANGOPADHYAY",,National,
MIMLI: A Lightweight Block Cipher of IoT Resource Constrained Devices,"MIHIR LAL SAHA, MALAY GANGOPADHYAY, SANGHAMITRA PODDAR, SUBHABRATA BANERJEE",,National,
RESONANT FREQUENCY OPTIMIZATION AND FABRICATION OF MICROSTRIP FED MICROSTRIP ANTENNA USING PARTICLE SWARM OPTIMIZATION ALGORITHM,MALAY GANGOPADHYAY,,National,
A SYSTEM ARCHITECTURE FOR BOTH SPECTRUM AND ENERGY EFFICIENT IOT NETWORK OPERATION,"SUTANU GHOSH, MALAY GANGOPADHYAY",,National,
SMART ALERTING SYSTEM FOR CRITICAL PATIENT,"GOBINDA SEN, MIHIR LAL SAHA, SUBHABRATA BANERJEE, MALAY GANGOPADHYAY",,National,
AQUALYNK: CONNECTED PISCICULTURE USING INTERNET OF THINGS(IOT),"SUBHABRATA BANERJEE, MALAY GANGOPADHYAY, SANGHAMITRA PODDAR",,National,
A SYSTEM ARCHITECTURE FOR SECURED HEALTHCARE APPLICATION FOR NOMA ENABLED COGNITIVE RADIO SYSTEM,SUTANU GHOSH,,National,