Principal Investigator,Project Title,Amount
Dr. Malay Gangopadhyay,AUTONOMOUS MARS ROVER ODDITY,4 Lakhs
Dr. Malay Gangopadhyay,FABRICATION OF MICROWAVE BIOSENSORS ON UNCONVENTIONAL 3D PRINTED SUBSTRATE,1 Lakh
Prof. Samit Kamarkar,DESIGN AND DEVELOPMENT OF A LOW-COST PRECISE ELECTROMETER FOR L-V CHARACTERIZATION OF CARBON THIN FILMS,30 Thousand
Dr. Mili Sarker,SMART ATTENDANCE SYSTEM (GEN 2.0),20 Thousand
Dr. Mili Sarker,FABRICATION OF MICROWAVE BIOSENSORS ON UNCONVENTIONAL 3D PRINTED SUBSTRATE,1.25 Lakhs
Dr. Gobinda Sen,DESIGN AND FABRICATION OF LOW-COST PORTABLE MICROWAVE SENSORS FOR FOOD ADULTERATION DETECTION,15 Thousand
Prof. Soumik Kumar Kundu,DEVELOPMENT OF AN AI BASED STOCK MARKET ANALYSIS APPLICATION,20 Thousand
Prof. Soumik Kumar Kundu,AI BASED SMART FARMING FOR ENHANCED AGRICULTURAL PRODUCTIVITY AND SUSTAINABILITY,8.5 Thousand
Dr. Goutam Ghosh,FALL DETECTION IN PARKINSON&#39;S DISEASE USING WEARABLE SENSORS,45 Thousand
Dr. Arindam Chakraborty,IOT BASED VOICE-ACTIVATED SMART WHEELCHAIR WITH STAIR-CLIMBING ABILITY FOR PATIENTS HAVING NEUROLOGICAL DISORDERS,8.5 Thousand
Prof. Amit Kumar Das,"SMART SAFETY GLASSES FOR THE VISUALLY COMBINING: INTEGRATING OBJECT DETECTION, SOUND ANALYSIS AND SPEECH RECOGNITION",75 Thousand
Dr. Sutanu Ghosh,RECONFIGURABLE INTELLIGENT SURFACES FOR NEXT GENERATION WIRELESS COMMUNICATION,20 Thousand
Prof. Debadoti Ghosh,DESIGN OF A PROTOTYPE OF PYROLYSIS CHAMBER TO CONVERT WASTE PLASTIC INTO FUEL,1 Lakh
Prof. Anindita Das Bhattacharjee,MULTI MODAL DATA ACQUISITION AND ANALYSIS USING DRONES FOR AGRICULTURE AND ENVIRONMENTAL PRESERVATION,9 Lakhs
Dr. Mili Sarker,DESIGN AND DEVELOPMENT OF AN EFFICIENT ALU FOR HIGH SPEED AND LOW POWER APPLICATIONS,8.3 Lakhs
Prof. Soumik Kumar Kundu,SURFACE PROFILE STUDY OF AN IN-HOUSE DEVELOPED METALLIC AND NON-METALLIC THIN FILMS USING A STYLUS-TYPE SURFACE PROFILOMETER,16 Lakhs
Dr. Indranil Maity,INCORPORATION OF 2D - MATERIAL BASED SOLID STATE GAS SENSOR DEVICES TOWARDS THE APPLICATION OF HEALTHCARE MONITORING SYSTEMS,7 Lakhs
Prof. Malay Gangopadhyay,WEARABLE ANTENNA DESIGN FOR DEFENSE APPLICATION,1 Lakh
Dr. Indranil Maity,DESIGN OF DEVELOPMENT OF 2D MATERIALS BASED GAS SENSOR DEVICES FOR EARLY DETECTION OF DIABETES AND NAFLD BIOMARKERS,80 Thousand
Prof. Debadoti Ghosh,DESIGN OF PYROLYSIS CHAMBER FOR PRODUCING PYROLIZED OIL FROM WASTE PLASTICS DUE TO MAJOR MISHAP,25 Thousand
Dr. Gobinda Sen,IMPLEMENTATION OF IOT BASED SMART REFRIGERATOR SYSTEM,25 Thousand
Dr. Ratna Chakraborty,AI BASED WASTE DETECTION AND CLASSIFICATION FOR WATERBODY,15 Thousand
Dr. Ratna Chakraborty,GUIDANCE BOT FOR VISUALLY IMPAIRED PEOPLE,2 Lakhs
Dr. Sanghamitra Poddar,DESIGN AND HARDWARE IMPLEMENTATION OF LIGHT WEIGHT CRYPTOGRAPHIC ALGORITHM FOR RESOURCE CONSTRAINED IOT DEVICES AND SENSORS,16 Lakhs
Dr. G.S. Taki,ENESYTHESIS BY ELECTRON CYCLOTRON RESONANCE (ECR) PLASMA ENHANCED CHEMICAL VAPOUR DEPOSITION TECHNIQUE,45 Thousand
Dr. G.S. Taki,INVESTIGATION OF MAGNETIC PROPERTIES OF ION BEAM IRRADIATED GRAPHENE AS POTENTIAL SPINTRONIC MATERIAL,1.5 Lakhs
Prof. Samit Karmakar,PLASMA DIAGNOSTICS AND PREDICTIVE ANALYSIS OF PRESSURE AND TEMPERATURE FOR VARIOUS EXPERIMENTS CARRIED OUT IN ECRPECVD SYSTEM,50 Thousand
Prof. Soumik Kumar Kundu,PERFORMANCE ENHANCEMENT OF EXISTING INDIGENOUS DC MAGNETRON SPUTTERING SETUP USING HIGH VACUUM SYSTEM FOR DEVELOPING CONTAMINANT FREE NANO-METRIC METALLIC THIN FILM,16 Lakhs